Android OS Launch Version,Kernel Version,Minimum Update Version,normal,message,warning,message,error,message,fatal,message,default,build trigger error,by pass project split by /
12,5.4,5.4.254,20240305,info,20240405,warning,20240420,error,20240505,fatal ,pass,1,0
12,5.10,5.10.189,20240305,info,20240405,warning,20240420,error,20240505,fatal ,pass,1,0
13,5.10,5.10.189,20240305,info,20240405,warning,20240420,error,20240505,fatal ,pass,1,0
13,5.15,5.15.123,20240305,info,20240405,warning,20240420,error,20240505,fatal ,pass,1,0
14,5.15,5.15.123,20240305,info,20240405,warning,20240420,error,20240505,fatal ,pass,1,0
14,6.1,6.1.43,20240305,info,20240405,warning,20240420,error,20240505,fatal ,pass,1,0
15,6.1,6.1.43,20240305,info,20240405,warning,20240420,error,20240505,fatal ,pass,1,0
15,6.6,6.6.9,20240305,info,20240405,warning,20240420,error,20240505,fatal ,pass,1,0
